Benchmark;Suma;Done;Errors;Timeouted;
extra;1;0;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;0;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;0;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;0;1;0;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;0;1;0;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;0;1;0;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;1;0;0;
