Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
([0-9a-zA-Z]{1000})\s{1000}(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s{1000}(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s{1000}(\w+)\s{1000}([a-zA-Z0-9\.\:\-]{1000});TIMEOUT.
.{1000}\x20.{33}.{1000}\x20.{1000}.{0}.{1000}\x20;TIMEOUT.
trigger {1000}.{1000} {1000}/ {1000}\D{0,3}(\d{9}|\d{6}\.\d{3});TIMEOUT.
.{1000}<\w+\x3afill\s[^>]{1000}method\s{1000}=\s{1000}(\x27[^\x27]{32}|\x22[^\x22]{32}|[^\s>]{32});TIMEOUT.
.{1000}A.{1000}(JSNRBHG|JSNRHM|TOM).{1000}([^K-U]QUM|IKSSUPRM)F[^CD][^CE]{7,128}C.{1000};TIMEOUT.
.{1000}<OBJECT\s{1000}[^>]{1000}type\s{1000}=[\x22\x27]\x2f{32};1;0;601;5;1000;4032;600;0,1803;29;157;3652;Text generated.
.{1000}<OBJECT\s{1000}[^>]{1000}type\s{1000}=[\x22\x27]\x2f{32};1;0;122;5;1000;4032;121;0,007381;29;157;0;TIMEOUT.
(\d{1,2})\W+(\d{1,2})\W{1000}(\d{2,4})|(\d{4})\W(\d{1,2})\W(\d{1,2})|([a-zA-Z]{1000})\W{1000}(\d{1,2})\W+(\d{2,4})|(\d{4})\W{1000}([a-zA-Z]{1000})\W{1000}(\d{1,2})|(\d{1,2})\W{1000}([a-zA-Z]{1000})\W{1000}(\d{2,4})|(\d{1,2})\W{1000}([a-zA-Z]{1000})|([a-zA-Z]{1000})\W{1000}(\d{1,2})|(\d{2})(\d{2})(\d{2,4});TIMEOUT.
^(.{345,1000}\w+)\W.{1000};TIMEOUT.
.{1000}\/((.{1000})\.(\d+)\.(\d\d)\.[a-fA-F0-9]{32}\.[A-Z]{6}(\.\w+));TIMEOUT.
;1;0;601;4;1000;2038;600;0,1803;133;1045;1456;Text generated.
;ERROR WHILE CONVERTING TO DCA.
;ERROR WHILE CONVERTING TO DCA.
;ERROR WHILE CONVERTING TO DCA.
;ERROR WHILE FINDING CYCLES.
;ERROR WHILE CONVERTING TO DCA.
Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
([0-9a-zA-Z]{1000})\s{1000}(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s{1000}(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s{1000}(\w+)\s{1000}([a-zA-Z0-9\.\:\-]{1000});TIMEOUT.
([A-Za-z]{0,1000}[\.\,\s]{0,1000}[A-Za-z]{1,1000}[\.\s]{1,1000}[0-9]{1,2}[\,\s]{0,1000}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,1000}[A-Za-z]{3,9}[-,\s]{0,1000}[0-9]{1,2}[-,\s]{0,1000}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4});TIMEOUT.
.{1000}\x20.{33}.{1000}\x20.{1000}.{0}.{1000}\x20;TIMEOUT.
.{1000}DOHILMPKGKV[^F]{1000}(JKISVRTMQPGKVA{1000}EA{1000}B[CH-K]{48,1000}|UHNMJHTMQPGKVA{1000}EA{1000}B[CH-K]{48,1000})[^F]{1000}F.{1000};TIMEOUT.
Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
([0-9a-zA-Z]{1000})\s{1000}(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s{1000}(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s{1000}(\w+)\s{1000}([a-zA-Z0-9\.\:\-]{1000});1;0;601;14;1000;6024;600;0,1803;92;659;152;Text generated.
