Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
([0-9a-zA-Z]{1000})\s{1000}(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s{1000}(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s{1000}(\w+)\s{1000}([a-zA-Z0-9\.\:\-]{1000});1;0;601;14;1000;6024;600;0,1803;92;659;0;Text generated.
([A-Za-z]{0,1000}[\.\,\s]{0,1000}[A-Za-z]{1,1000}[\.\s]{1,1000}[0-9]{1,2}[\,\s]{0,1000}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,1000}[A-Za-z]{3,9}[-,\s]{0,1000}[0-9]{1,2}[-,\s]{0,1000}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4});1;0;2402;17;1000;8041;1200;1,079406;170;2730;0;Text generated.
.{1000}\x20.{33}.{1000}\x20.{1000}.{0}.{1000}\x20;1;0;601;5;1000;4033;600;0,1803;33;355;0;Text generated.
.{1000}DOHILMPKGKV[^F]{1000}(JKISVRTMQPGKVA{1000}EA{1000}B[CH-K]{48,1000}|UHNMJHTMQPGKVA{1000}EA{1000}B[CH-K]{48,1000})[^F]{1000}F.{1000};1;0;601;7;1000;7000;600;0,1803;561;10571;0;Text generated.
trigger {1000}.{1000} {1000}/ {1000}\D{0,3}(\d{9}|\d{6}\.\d{3});1;0;601;8;1000;4021;1;0,000594;110;1112;0;Text generated.
.{1000}<\w+\x3afill\s[^>]{1000}method\s{1000}=\s{1000}(\x27[^\x27]{32}|\x22[^\x22]{32}|[^\s>]{32});1;0;601;7;1000;4096;600;0,1803;673;16532;0;Text generated.
