Benchmark;Suma;Done;Errors;Timeouted;
testCheck1;2;1;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
testCheck1;13;1;0;9;
Benchmark;Suma;Done;Errors;Timeouted;
testCheck1;7;0;0;3;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
extra;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
testCheck2;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
testCheck2;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
testCheck2;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
text7;2;2;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
text7;2;2;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
text7;2;2;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
text7;2;2;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
text7;2;2;0;0;
