pattern;max elems;average;max counter;sum counter;DCA states;time [ms]
\r\nContent-Length\x3A[ \n\t\r\f]*[^\r\n]{100,};100;43,3076923076923;100;100;102;3833;text generated
[A-Za-z0-9\+/]{342}==;342;327,425893526618;342;342;4;25156;text generated
^MAIL FROM\x3a[ \n\t\r\f]+[a-z0-9A-Z_ \n\t\r\f@\.]{200,}\x3b[a-z0-9A-Z_ \n\t\r\f@\.]{200,}\x3b[a-z0-9A-Z_ \n\t\r\f@\.]{200,};200;196,479130217446;200;600;22;36194;text generated
^\n*[rR][cC][pP][tT] [tT][oO]\x3a[\x20\x09\x0b]+[a-zA-Z0-9\x5f\x20\x09\x0b\x40\.]{0,200}\x3b[a-zA-Z0-9\x5f\x20\x09\x0b=x40\.]{200,}\x3b[a-zA-Z0-9\x5f\x20\x09\x0b\x40\.]{0,200};200;196,578605348663;200;600;17;40454;text generated
