Regex;Lines;Visited;Cache Size(Found);Status
user(name)?[ -~ \n\t\r\f]{0,70}(secret|password);15;1017;2408;Text generated.
php.*\x3f[^\n]{256};7;1030;3063;Text generated.
name=[ \n\t\r\f]*[^\r\n\x3b \n\t\r\f\x2c]{300};5;1203;1795;Text generated.
