Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
(b(aa|aa)){2,4};1;7;7;1;4;4;2;9E-06;8;22;70;Text generated.
((aa|aa)b){2,4};ERROR WHILE GENERATING TEXT.
((aa|aa)d(bb|b)){2,4};ERROR WHILE GENERATING TEXT.
