Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
(_a ){20}_a;1;61;61;1;20;20;20;0,00063;6;17;90;Text generated.
(_a ){40}_a;1;121;121;1;40;40;40;0,00246;6;17;165;Text generated.
(_a ){60}_a;1;181;181;1;60;60;60;0,00549;6;17;186;Text generated.
(_a ){80}_a;1;241;241;1;80;80;80;0,00972;6;17;209;Text generated.
(_a ){100}_a;1;301;301;1;100;100;100;0,01515;6;17;235;Text generated.
(_a ){120}_a;1;361;361;1;120;120;120;0,02178;6;17;273;Text generated.
(_a ){140}_a;1;421;421;1;140;140;140;0,02961;6;17;305;Text generated.
(_a ){160}_a;1;481;481;1;160;160;160;0,03864;6;17;350;Text generated.
(_a ){180}_a;1;541;541;1;180;180;180;0,04887;6;17;397;Text generated.
(_a ){200}_a;1;601;601;1;200;200;200;0,0603;6;17;453;Text generated.
(_a ){220}_a;1;661;661;1;220;220;220;0,07293;6;17;506;Text generated.
(_a ){240}_a;1;721;721;1;240;240;240;0,08676;6;17;559;Text generated.
(_a ){260}_a;1;781;781;1;260;260;260;0,10179;6;17;634;Text generated.
(_a ){280}_a;1;841;841;1;280;280;280;0,11802;6;17;710;Text generated.
(_a ){300}_a;1;901;901;1;300;300;300;0,13545;6;17;775;Text generated.
(_a ){320}_a;1;961;961;1;320;320;320;0,15408;6;17;856;Text generated.
(_a ){340}_a;1;1021;1021;1;340;340;340;0,17391;6;17;975;Text generated.
(_a ){360}_a;1;1081;1081;1;360;360;360;0,19494;6;17;1104;Text generated.
(_a ){380}_a;1;1141;1141;1;380;380;380;0,21717;6;17;1229;Text generated.
(_a ){400}_a;1;1201;1201;1;400;400;400;0,2406;6;17;1374;Text generated.
(_a ){420}_a;1;1261;1261;1;420;420;420;0,26523;6;17;1499;Text generated.
(_a ){440}_a;1;1321;1321;1;440;440;440;0,29106;6;17;1629;Text generated.
(_a ){460}_a;1;1381;1381;1;460;460;460;0,31809;6;17;1773;Text generated.
(_a ){480}_a;1;1441;1441;1;480;480;480;0,34632;6;17;1922;Text generated.
(_a ){500}_a;1;1501;1501;1;500;500;500;0,37575;6;17;2082;Text generated.
(_a ){520}_a;1;1561;1561;1;520;520;520;0,40638;6;17;2244;Text generated.
(_a ){540}_a;1;1621;1621;1;540;540;540;0,43821;6;17;2407;Text generated.
(_a ){560}_a;1;1681;1681;1;560;560;560;0,47124;6;17;2595;Text generated.
(_a ){580}_a;1;1741;1741;1;580;580;580;0,50547;6;17;2774;Text generated.
(_a ){600}_a;1;1801;1801;1;600;600;600;0,5409;6;17;2975;Text generated.
(_a ){620}_a;1;1861;1861;1;620;620;620;0,57753;6;17;3183;Text generated.
(_a ){640}_a;1;1921;1921;1;640;640;640;0,61536;6;17;3477;Text generated.
(_a ){660}_a;1;1981;1981;1;660;660;660;0,65439;6;17;3749;Text generated.
(_a ){680}_a;1;2041;2041;1;680;680;680;0,69462;6;17;4027;Text generated.
(_a ){700}_a;1;2101;2101;1;700;700;700;0,73605;6;17;4335;Text generated.
(_a ){720}_a;1;2161;2161;1;720;720;720;0,77868;6;17;4650;Text generated.
(_a ){740}_a;1;2221;2221;1;740;740;740;0,82251;6;17;4969;Text generated.
(_a ){760}_a;1;2281;2281;1;760;760;760;0,86754;6;17;5327;Text generated.
(_a ){780}_a;1;2341;2341;1;780;780;780;0,91377;6;17;5724;Text generated.
(_a ){800}_a;1;2401;2401;1;800;800;800;0,9612;6;17;6144;Text generated.
(_a ){820}_a;1;2461;2461;1;820;820;820;1,00983;6;17;6575;Text generated.
(_a ){840}_a;1;2521;2521;1;840;840;840;1,05966;6;17;7027;Text generated.
(_a ){860}_a;1;2581;2581;1;860;860;860;1,11069;6;17;7491;Text generated.
(_a ){880}_a;1;2641;2641;1;880;880;880;1,16292;6;17;8017;TIMEOUT.
(_a ){880}_a;1;2641;2641;1;880;880;880;1,16292;6;17;8017;Text generated.
(_a ){900}_a;1;2701;2701;1;900;900;900;1,21635;6;17;484770;Text generated.
(_a ){920}_a;1;2761;2761;1;920;920;920;1,27098;6;17;485540;Text generated.
(_a ){940}_a;1;2821;2821;1;940;940;940;1,32681;6;17;486247;Text generated.
(_a ){960}_a;1;2881;2881;1;960;960;960;1,38384;6;17;487117;Text generated.
(_a ){980}_a;1;2941;2941;1;980;980;980;1,44207;6;17;487896;Text generated.
(_a ){1000}_a;1;3001;3001;1;1000;1000;1000;1,5015;6;17;488794;Text generated.
(_a ){1020}_a;1;3061;3061;1;1020;1020;1020;1,56213;6;17;489891;Text generated.
(_a ){1040}_a;1;3121;3121;1;1040;1040;1040;1,62396;6;17;490873;Text generated.
(_a ){1060}_a;1;3181;3181;1;1060;1060;1060;1,68699;6;17;491905;Text generated.
(_a ){1080}_a;1;3241;3241;1;1080;1080;1080;1,75122;6;17;493029;Text generated.
