Regex;Lines;Visited;Cache Size(Found);Max CS;Status
((([0-9A-Fa-f]{1,4}:){7}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){6}:[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){5}:([0-9A-Fa-f]{1,4}:)?[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){4}:([0-9A-Fa-f]{1,4}:){0,2}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){3}:([0-9A-Fa-f]{1,4}:){0,3}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){2}:([0-9A-Fa-f]{1,4}:){0,4}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){6}(([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9])\.){3}([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9]))|(([0-9A-Fa-f]{1,4}:){0,5}:(([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9])\.){3}([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9]))|(::([0-9A-Fa-f]{1,4}:){0,5}(([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9])\.){3}([0-9]((25[0-5])|(1[0-9]{2})|(2[0-4][0-9])|([0-9]{1,2}))[0-9]))|([0-9A-Fa-f]{1,4}::([0-9A-Fa-f]{1,4}:){0,5}[0-9A-Fa-f]{1,4})|(::([0-9A-Fa-f]{1,4}:){0,6}[0-9A-Fa-f]{1,4})|(([0-9A-Fa-f]{1,4}:){1,7}:));;;;;;TIMEOUT while converting to DCA.
((?:[^GyMLwWdEabBhHmsSzZO']+)|(?:'(?:[^']|'')*')|(?:G{1,5}|y{1,4}|M{1,5}|L{1,5}|w{1,2}|W{1}|d{1,2}|E{1,6}|a{1,5}|b{1,5}|B{1,5}|h{1,2}|H{1,2}|m{1,2}|s{1,2}|S{1,3}|z{1,4}|Z{1,5}|O{1,4}))([ \n\t\r\f^ \n\t\r\f]*);;;;;;TIMEOUT while finding cycles.
((?:[0-9A-Fa-f]{1,4}:){6}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|::(?:[0-9A-Fa-f]{1,4}:){5}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:){4}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:){3}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:(?:[0-9A-Fa-f]{1,4}:){,2}[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:){2}(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:(?:[0-9A-Fa-f]{1,4}:){,3}[0-9A-Fa-f]{1,4})?::[0-9A-Fa-f]{1,4}:(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:(?:[0-9A-Fa-f]{1,4}:){,4}[0-9A-Fa-f]{1,4})?::(?:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}|(?:(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5])\.){3}(?:[0-9]|[1-9][0-9]|1[0-9]{2}|2[0-4][0-9]|25[0-5]))|(?:(?:[0-9A-Fa-f]{1,4}:){,5}[0-9A-Fa-f]{1,4})?::[0-9A-Fa-f]{1,4}|(?:(?:[0-9A-Fa-f]{1,4}:){,6}[0-9A-Fa-f]{1,4})?::);;;;;;TIMEOUT while converting to DCA.
((?:https?:\/\/)?(?:(?:[a-z0-9]?(?:[a-z0-9\-]{1,61}[a-z0-9])?\.[^\.| \n\t\r\f])+[a-z\.]*[a-z]+|(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)(?:\.(?:25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)){3})(?::[0-9]{1,5})*[a-z0-9.,_\/~#&=%+\-\(\)]*);;;;;;TIMEOUT while converting to DCA.
(([0-9a-zA-Z_]+\-+)|([0-9a-zA-Z_]+\.))*[0-9a-zA-Z_]{1,63}\.[a-zA-Z]{2,6}$;2;9;14;6;Text generated.
((2|3)\.(3|4|5|6|7|8)\.([0-9]{1,2}))((a|b|c|rc)[0-9]{1,2})? (.{1,64});2;8;17;1;Text generated.
((4([0-9]{12}|[0-9]{15}))|(5[0-9]{15})|(6011[0-9]{12})|(3(4|7)[0-9]{13}));;;;;;TIMEOUT while converting to DCA.
(.)(.{11})(.{20})(.{32});1;65;65;32;Text generated.
(.)(.{11})(.{52});1;65;65;52;Text generated.
(.{0,255})$;1;1;1;0;Text generated.
(.{1,134});1;2;2;1;Text generated.
(.{1,60});1;2;2;1;Text generated.
(.{1,60})([ \n\t\r\f]|$);1;2;2;1;Text generated.
(.{1,60}|[^ \n\t\r\f]+)(?:[ \n\t\r\f]+|$);2;2;3;1;Text generated.
(.{1,64});1;2;2;1;Text generated.
(.{1,66});1;2;2;1;Text generated.
(.{1,66})(?:[ \n\t\r\f]+|$);1;2;2;1;Text generated.
(.{1,69})[ \n];2;3;4;2;Text generated.
(.{1,70});1;2;2;1;Text generated.
(.{1,72})([ \n\t\r\f]);2;3;4;2;Text generated.
(.{1,72})([ \n\t\r\f]+|\Z);1;2;2;1;Text generated.
(.{1,74});1;2;2;1;Text generated.
(.{1,76});1;2;2;1;Text generated.
(.{1,76})( +|$);1;2;2;1;Text generated.
(.{1,76}[^0-9a-zA-Z_]);2;3;4;2;Text generated.
