Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;4;4;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test5;4;3;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
test5;1;0;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
test5;1;0;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
test5;1;0;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
test5;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test5;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test5;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test6;2;0;2;0;
Benchmark;Suma;Done;Errors;Timeouted;
test6;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test6;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test6;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test6;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test6;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test6;1;0;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
test6;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test6;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test6;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test6;1;0;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
test6;1;0;1;0;
Benchmark;Suma;Done;Errors;Timeouted;
test6;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test6;1;0;1;0;
Benchmark;Suma;Done;Errors;Timeouted;
text7;1;0;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
text7;1;0;0;1;
Benchmark;Suma;Done;Errors;Timeouted;
text7;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
text7;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
text7;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;0;1;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
