Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
^'((?:(?:''|[^']){2,32766}){2,32766})'\s*(.*)$;ERROR WHILE CONVERTING TO DCA.
.*<[0-9a-zA-Z_]+\x3afill[\s][^>]*method[\s]*=[\s]*(\x27[^\x27]{32}|\x22[^\x22]{32}|[^\s>]{32});2;55;215;3;32;96;2;0,000286;400;7085;1216;Text generated.
^(<(?:\\\\|.|[^<>]){2,1024}>);ERROR WHILE CONVERTING TO DCA.
^ {9}(?<index>\d{3}) (?<step>.{8}) (?<procedureStep>.{8}) (?<class>.) (?<name>.{8}) {1,9}(?<length>\d{1,9}) $;1;61;61;7;9;54;1;5,8E-05;113;1187;1454;Text generated.
