Benchmark;Suma;Done;Errors;Timeouted;
test;7;0;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;7;0;7;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;7;0;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;0;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;1;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;7;2;2;3;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;0;1;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;54;5;28;17;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;0;1;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;0;1;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;0;1;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
Benchmark;Suma;Done;Errors;Timeouted;
test;1;1;0;0;
