Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
^X?PAT\s+[^\n]{0};ERROR WHILE GENERATING TEXT.
^X?PAT\s+[^\n]{20};22;236;236;1;20;20;20;0,00175;12;27;84;Text generated.
^X?PAT\s+[^\n]{40};42;866;866;1;40;40;40;0,0123;12;27;107;Text generated.
^X?PAT\s+[^\n]{60};62;1896;1896;1;60;60;60;0,03965;12;27;168;Text generated.
^X?PAT\s+[^\n]{80};82;3326;3326;1;80;80;80;0,0918;12;27;393;Text generated.
^X?PAT\s+[^\n]{100};102;5156;5156;1;100;100;100;0,17675;12;27;980;Text generated.
^X?PAT\s+[^\n]{120};122;7386;7386;1;120;120;120;0,3025;12;27;2273;Text generated.
^X?PAT\s+[^\n]{140};142;10015;10016;1;140;140;140;0,47705;12;27;5066;Text generated.
^X?PAT\s+[^\n]{160};128;10063;10098;1;160;160;160;0,51061;12;27;9882;Text generated.
^X?PAT\s+[^\n]{180};127;10060;10116;1;180;180;180;0,62633;12;27;15301;Text generated.
^X?PAT\s+[^\n]{200};130;10002;10075;1;200;200;200;0,822361;12;27;20817;Text generated.
^X?PAT\s+[^\n]{220};115;10134;10242;1;220;220;220;1,083684;12;27;26759;Text generated.
^X?PAT\s+[^\n]{240};83;10054;10214;1;240;240;240;1,083592;12;27;33018;Text generated.
^X?PAT\s+[^\n]{260};69;10015;10209;1;260;260;260;1,091683;12;27;39466;Text generated.
^X?PAT\s+[^\n]{280};59;10080;10304;1;280;280;280;1,062648;12;27;46062;Text generated.
^X?PAT\s+[^\n]{300};52;10005;10256;1;300;300;300;1,0608;12;27;51998;Text generated.
^X?PAT\s+[^\n]{320};48;10295;10570;1;320;320;320;1,079674;12;27;57565;Text generated.
^X?PAT\s+[^\n]{340};44;10161;10460;1;340;340;340;1,127116;12;27;63029;Text generated.
^X?PAT\s+[^\n]{360};40;10107;10430;1;360;360;360;1,110686;12;27;69410;Text generated.
^X?PAT\s+[^\n]{380};37;10131;10477;1;380;380;380;1,107891;12;27;74718;Text generated.
^X?PAT\s+[^\n]{400};34;10026;10395;1;400;400;400;1,091721;12;27;80741;Text generated.
^X?PAT\s+[^\n]{420};33;10389;10779;1;420;420;420;1,135657;12;27;86531;Text generated.
^X?PAT\s+[^\n]{440};31;10278;10690;1;440;440;440;1,17217;12;27;94170;Text generated.
^X?PAT\s+[^\n]{460};29;10199;10633;1;460;460;460;1,167055;12;27;104360;Text generated.
^X?PAT\s+[^\n]{480};27;10036;10492;1;480;480;480;1,153976;12;27;114466;Text generated.
^X?PAT\s+[^\n]{500};26;10173;10650;1;500;500;500;1,178;12;27;121365;Text generated.
^X?PAT\s+[^\n]{520};25;10269;10767;1;520;520;520;1,198389;12;27;127395;Text generated.
^X?PAT\s+[^\n]{540};24;10324;10843;1;540;540;540;1,215205;12;27;135385;Text generated.
^X?PAT\s+[^\n]{560};23;10338;10878;1;560;560;560;1,22851;12;27;142675;Text generated.
^X?PAT\s+[^\n]{580};22;10311;10872;1;580;580;580;1,238366;12;27;150019;Text generated.
^X?PAT\s+[^\n]{600};21;10243;10825;1;600;600;600;1,244835;12;27;156714;Text generated.
^X?PAT\s+[^\n]{620};20;10029;10632;1;620;620;620;1,300584;12;27;163283;Text generated.
^X?PAT\s+[^\n]{640};20;10409;11032;1;640;640;640;1,361284;12;27;171192;Text generated.
^X?PAT\s+[^\n]{660};19;10240;10884;1;660;660;660;1,361408;12;27;177391;Text generated.
^X?PAT\s+[^\n]{680};18;10030;10695;1;680;680;680;1,358309;12;27;184285;Text generated.
^X?PAT\s+[^\n]{700};18;10370;11055;1;700;700;700;1,416949;12;27;190208;Text generated.
^X?PAT\s+[^\n]{720};17;10099;10805;1;720;720;720;1,409289;12;27;196089;Text generated.
^X?PAT\s+[^\n]{740};17;10419;11145;1;740;740;740;1,467329;12;27;202142;Text generated.
^X?PAT\s+[^\n]{760};16;10087;10834;1;760;760;760;1,45521;12;27;208547;Text generated.
^X?PAT\s+[^\n]{780};16;10387;11154;1;780;780;780;1,51267;12;27;214383;Text generated.
^X?PAT\s+[^\n]{800};16;10687;11474;1;800;800;800;1,57093;12;27;221439;Text generated.
^X?PAT\s+[^\n]{820};15;10274;11082;1;820;820;820;1,553094;12;27;228917;Text generated.
^X?PAT\s+[^\n]{840};15;10554;11382;1;840;840;840;1,610794;12;27;235445;Text generated.
^X?PAT\s+[^\n]{860};14;10080;10929;1;860;860;860;1,588723;12;27;243414;Text generated.
^X?PAT\s+[^\n]{880};14;10340;11209;1;880;880;880;1,645883;12;27;250335;Text generated.
