Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
^X?PAT\s+[^\n]{0};ERROR WHILE GENERATING TEXT.
^X?PAT\s+[^\n]{20};22;236;236;1;20;20;20;0,00175;12;27;83;Text generated.
^X?PAT\s+[^\n]{40};42;866;866;1;40;40;40;0,0123;12;27;107;Text generated.
^X?PAT\s+[^\n]{60};62;1896;1896;1;60;60;60;0,03965;12;27;169;Text generated.
^X?PAT\s+[^\n]{80};66;3003;3020;1;80;80;80;0,0853;12;27;367;Text generated.
^X?PAT\s+[^\n]{100};45;3027;3085;1;100;100;100;0,076791;12;27;874;Text generated.
^X?PAT\s+[^\n]{120};52;3025;3096;1;120;120;120;0,09022;12;27;1327;Text generated.
^X?PAT\s+[^\n]{140};62;3100;3181;1;140;140;140;0,153455;12;27;1784;Text generated.
^X?PAT\s+[^\n]{160};59;3120;3224;1;160;160;160;0,263088;12;27;2286;Text generated.
^X?PAT\s+[^\n]{180};39;3036;3180;1;180;180;180;0,291126;12;27;2863;Text generated.
^X?PAT\s+[^\n]{200};31;3078;3250;1;200;200;200;0,30889;12;27;3367;Text generated.
^X?PAT\s+[^\n]{220};25;3069;3267;1;220;220;220;0,304389;12;27;3890;Text generated.
^X?PAT\s+[^\n]{240};21;3043;3265;1;240;240;240;0,300915;12;27;4410;Text generated.
^X?PAT\s+[^\n]{260};19;3040;3284;1;260;260;260;0,328208;12;27;4927;Text generated.
^X?PAT\s+[^\n]{280};17;3059;3325;1;280;280;280;0,334809;12;27;5437;Text generated.
^X?PAT\s+[^\n]{300};16;3187;3474;1;300;300;300;0,35443;12;27;5957;Text generated.
^X?PAT\s+[^\n]{320};14;3060;3369;1;320;320;320;0,347803;12;27;6523;Text generated.
^X?PAT\s+[^\n]{340};13;3085;3415;1;340;340;340;0,358559;12;27;7074;Text generated.
^X?PAT\s+[^\n]{360};12;3069;3420;1;360;360;360;0,366024;12;27;7606;Text generated.
^X?PAT\s+[^\n]{380};11;3012;3384;1;380;380;380;0,37026;12;27;8130;Text generated.
^X?PAT\s+[^\n]{400};11;3212;3604;1;400;400;400;0,40192;12;27;8707;Text generated.
^X?PAT\s+[^\n]{420};10;3094;3507;1;420;420;420;0,401729;12;27;9306;Text generated.
