Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
arn:aws:iam::((\d{12})|aws):policy/([a-zA-Z0-9-=,\.@_]{1,128});3;39;39;2;128;140;1;1,5E-05;58;209;58;Text generated.
\A\$1\$([!-#%-9-~]{0,8})\$([./0-9A-Za-z]{22})\z;1;35;35;2;22;30;1;3,2E-05;5;6;120;Text generated.
[A-Za-z0-9-_]{30,};1;31;31;1;30;30;30;0,000465;5;13;132;Text generated.
-[0-9a-f]{32}.css$;2;40;40;1;32;32;1;3,5E-05;10;37;148;Text generated.
\A\$P\$([./0-9A-Za-z])([!-9-~]{8})\n\t\t\t\t([./0-9A-Za-z]{22})\z;1;40;40;2;22;30;1;3,2E-05;10;11;176;Text generated.
arn:aws:iam::(\d{12}):instance-profile/([a-zA-Z0-9-=,\.@_]{1,128});2;46;46;2;128;140;1;1,6E-05;70;243;253;Text generated.
^[A-Za-z0-9-_]{40}$;1;41;41;1;40;40;1;4,1E-05;1;1;278;Text generated.
^([a-zA-Z0-9-\,\s]{2,64})$;1;65;65;1;64;64;1;6,5E-05;1;1;299;Text generated.
^\/webhooks\/(\d+)\/[A-Za-z0-9-_]{64,};1;77;77;1;64;64;1;6,5E-05;15;19;325;Text generated.
^[a-zA-Z0-9- ]{1,63}$;1;64;64;1;63;63;1;6,4E-05;1;1;346;Text generated.
^[a-f-0-9]{32}:[a-f-0-9]{32}$;1;66;66;2;32;64;1;6,6E-05;2;3;361;Text generated.
^[a-zA-Z0-9-_]{4,100}$;1;101;101;1;100;100;1;0,000101;1;1;376;Text generated.
^[a-zA-Z0-9-.]{0,63}$;1;64;64;1;63;63;1;6,4E-05;1;1;401;Text generated.
^[a-zA-Z0-9_\-+=:\/@\.]{1,127}$;1;128;128;1;127;127;1;0,000128;1;1;420;Text generated.
^[a-z]{1}[a-z0-9-._]{1,50}$;1;52;52;1;50;50;1;5,1E-05;2;2;437;Text generated.
Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
^(.{2,250}) ([0-9]{4,10}) ([^,]{2,80}) *(,.+)?$;3849;9544;9687;3;250;340;3;0,023172;35;242;146;TIMEOUT.
uuid:(.{36});799;11078;17548;1;36;36;6;0,065519;10;37;59567;TIMEOUT.
 PROCESS(.{32})WORKING\n;925;8866;9255;1;32;32;5;0,025615;32;168;119630;TIMEOUT.
(__.{38});273;6478;12251;1;38;38;38;0,262262;4;11;179626;Text generated.
(__.{38});448;10210;19303;1;38;38;38;0,41105;4;11;179626;TIMEOUT.
^\s*SOML\s+[^\n]{246};158;15350;15439;1;246;246;246;1,756311;12;27;239711;TIMEOUT.
data-uix-load-more-href=(.{176});83;6435;10913;1;176;176;3;0,025204;48;211;299747;TIMEOUT.
^[nN][aA][mM][eE]=s*[^\r\n\x3b\x20\x09\x0b\x2c]{300};75;13808;14132;1;300;300;300;1,550198;11;21;359851;TIMEOUT.
(^[a-z]:)?/.{1,50}$;189;6844;13363;1;50;50;50;0,389202;2;4;419785;TIMEOUT.
([A-Za-z_][A-Za-z0-9_]{2,30}|(__.*__))$;303;4454;12123;1;30;30;30;0,228988;9;27;479984;Text generated.
([A-Za-z_][A-Za-z0-9_]{2,30}|(__.*__))$;361;4991;13545;1;30;30;30;0,258079;9;27;479984;TIMEOUT.
[a-z_][a-z0-9_]{2,30}$;524;7831;14618;1;30;30;30;0,283905;2;4;539972;TIMEOUT.
^(0[23][0-9a-fA-F]{64})|(04[0-9a-fA-F]{128})$;169;8235;16046;2;128;192;7;0,077686;18;101;601255;TIMEOUT.
