Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
arn:aws:iam::((\d{12})|aws):policy/([a-zA-Z0-9-=,\.@_]{1,128});3;39;39;2;128;140;1;1,5E-05;58;209;59;Text generated.
\A\$1\$([!-#%-9-~]{0,8})\$([./0-9A-Za-z]{22})\z;1;35;35;2;22;30;1;3,2E-05;5;6;119;Text generated.
[A-Za-z0-9-_]{30,};1;31;31;1;30;30;30;0,000465;5;13;131;Text generated.
-[0-9a-f]{32}.css$;2;40;40;1;32;32;1;3,5E-05;10;37;147;Text generated.
\A\$P\$([./0-9A-Za-z])([!-9-~]{8})\n\t\t\t\t([./0-9A-Za-z]{22})\z;1;40;40;2;22;30;1;3,2E-05;10;11;177;Text generated.
arn:aws:iam::(\d{12}):instance-profile/([a-zA-Z0-9-=,\.@_]{1,128});2;46;46;2;128;140;1;1,6E-05;70;243;250;Text generated.
^[A-Za-z0-9-_]{40}$;1;41;41;1;40;40;1;4,1E-05;1;1;290;Text generated.
^([a-zA-Z0-9-\,\s]{2,64})$;1;65;65;1;64;64;1;6,5E-05;1;1;310;Text generated.
^\/webhooks\/(\d+)\/[A-Za-z0-9-_]{64,};1;77;77;1;64;64;1;6,5E-05;15;19;331;Text generated.
^[a-zA-Z0-9- ]{1,63}$;1;64;64;1;63;63;1;6,4E-05;1;1;353;Text generated.
^[a-f-0-9]{32}:[a-f-0-9]{32}$;1;66;66;2;32;64;1;6,6E-05;2;3;369;Text generated.
^[a-zA-Z0-9-_]{4,100}$;1;101;101;1;100;100;1;0,000101;1;1;384;Text generated.
^[a-zA-Z0-9-.]{0,63}$;1;64;64;1;63;63;1;6,4E-05;1;1;408;Text generated.
^[a-zA-Z0-9_\-+=:\/@\.]{1,127}$;1;128;128;1;127;127;1;0,000128;1;1;432;Text generated.
^[a-z]{1}[a-z0-9-._]{1,50}$;1;52;52;1;50;50;1;5,1E-05;2;2;450;Text generated.
