Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
^.{0,114}\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90\x90;ERROR WHILE CONVERTING TO DCA.
^.{0,23}Wtzup Use;24;204;204;1;23;23;1;0,000195;35;117;103;Text generated.
^.{0,24}ISSPNGRQ;25;197;197;1;24;24;1;0,000189;31;103;220;Text generated.
^.{0,24}\x49\x53\x53\x50\x4e\x47\x52\x51;25;197;197;1;24;24;1;0,000189;31;103;267;Text generated.
^.{0,92}\x38\x39\x3a\x3b\x3c\x3d\x3e\x3f;93;809;809;1;92;92;1;0,000801;31;103;310;Text generated.
^.{0}\x05.{1}\x0b.{21}\x00;ERROR WHILE CONVERTING TO DCA.
^.{0}\x05.{1}\x0b.{29}\xA0\x01\x00\x00\x00\x00\x00\x00\xC0\x00\x00\x00\x00\x00\x00\x46;ERROR WHILE CONVERTING TO DCA.
^.{0}\x05.{1}\x0b.{29}\xB8\x4A\x9F\x4D\x1C\x7D\xCF\x11\x86\x1E\x00\x20\xAF\x6E\x7C\x57;ERROR WHILE CONVERTING TO DCA.
^.{11}\x00\x01\x86\xB8.{4}\x00\x00\x00\x02.{0,251}%x %x;ERROR WHILE CONVERTING TO DCA.
^.{15}\x00\x01\x86\xB8.{4}\x00\x00\x00\x02.{0,251}%x %x;ERROR WHILE CONVERTING TO DCA.
^.{15}\x00\x01\x86\xBC.{4}\x00\x00\x00\x01.{4}.*\|;ERROR WHILE CONVERTING TO DCA.
^.{15}\x00\x01\x86\xBC.{4}\x00\x00\x00\x01.{4}.*\x7C;ERROR WHILE CONVERTING TO DCA.
^.{16}\x10\x05.{13}\x00\x00\x00\x01\x01\x00\x00\x18;ERROR WHILE CONVERTING TO DCA.
^.{199}\xFF\xF6\xFF\xF6\xFF\xFB\x08\xFF\xF6;ERROR WHILE CONVERTING TO DCA.
^200 [^\x0a]{64};1;69;69;1;64;64;1;6,5E-05;7;10;687;Text generated.
^.{24}.{0,17}NAMENAME;19;172;162;2;24;41;1;0,00015;38;113;737;Text generated.
^.{24}.{0,17}\x4e\x41\x4d\x45\x4e\x41\x4d\x45;19;172;162;2;24;41;1;0,00015;38;113;801;Text generated.
^.{27}\x07;ERROR WHILE CONVERTING TO DCA.
^.{27}\x0B\x00\x0C\x00\x00\x00\x01\x01\x00`\x02;ERROR WHILE CONVERTING TO DCA.
^.{27}\x0C;ERROR WHILE CONVERTING TO DCA.
^.{287}\x00;ERROR WHILE CONVERTING TO DCA.
^.{29}6[iI][sS][sS] [eE][cC][nN][rR][aA] [bB][uU][iI][lL][tT]-[iI][nN] [pP][rR][oO][vV][iI][dD][eE][rR], [sS][tT][rR][oO][nN][gG] [eE][nN][cC][rR][yY][pP][tT][iI][oO][nN];1;77;77;1;29;29;1;3E-05;48;49;996;Text generated.
^.{29}\x00\x04;ERROR WHILE CONVERTING TO DCA.
^.{29}\x00\x0C\x00\x00\x00\x01\x01\x00\x06\x02;ERROR WHILE CONVERTING TO DCA.
^.{31}.*[rR]\x00[aA]\x00[iI]\x00[sS]\x00[eE]\x00[rR]\x00[rR]\x00[oO]\x00[rR]\x00;ERROR WHILE CONVERTING TO DCA.
^.{31}[sS]\x00[pP]\x00_\x00[aA]\x00[dD]\x00[dD]\x00[uU]\x00[sS]\x00[eE]\x00[rR]\x00;ERROR WHILE CONVERTING TO DCA.
^.{31}[sS]\x00[pP]\x00_\x00[sS]\x00[tT]\x00[aA]\x00[rR]\x00[tT]\x00_\x00[jJ]\x00[oO]\x00[bB]\x00;ERROR WHILE CONVERTING TO DCA.
^.{31}.*[xX]\x00[pP]\x00_\x00[cC]\x00[mM]\x00[dD]\x00[sS]\x00[hH]\x00[eE]\x00[lL]\x00[lL]\x00;ERROR WHILE CONVERTING TO DCA.
^.{31}.*[xX]\x00[pP]\x00_\x00[dD]\x00[iI]\x00[sS]\x00[pP]\x00[lL]\x00[aA]\x00[yY]\x00[pP]\x00[aA]\x00[rR]\x00[aA]\x00[mM]\x00[sS]\x00[tT]\x00[mM]\x00[tT]\x00;ERROR WHILE CONVERTING TO DCA.
^.{31}.*[xX]\x00[pP]\x00_\x00[eE]\x00[nN]\x00[uU]\x00[mM]\x00[rR]\x00[eE]\x00[sS]\x00[uU]\x00[lL]\x00[tT]\x00[sS]\x00[eE]\x00[tT]\x00;ERROR WHILE CONVERTING TO DCA.
^.{31}.*[xX]\x00[pP]\x00_\x00[pP]\x00[eE]\x00[eE]\x00[kK]\x00[qQ]\x00[uU]\x00[eE]\x00[uU]\x00[eE]\x00;ERROR WHILE CONVERTING TO DCA.
^.{31}.*[xX]\x00[pP]\x00_\x00[pP]\x00[rR]\x00[iI]\x00[nN]\x00[tT]\x00[sS]\x00[tT]\x00[aA]\x00[tT]\x00[eE]\x00[mM]\x00[eE]\x00[nN]\x00[tT]\x00[sS]\x00;ERROR WHILE CONVERTING TO DCA.
^.{31}.*[xX]\x00[pP]\x00_\x00[pP]\x00[rR]\x00[oO]\x00[xX]\x00[iI]\x00[eE]\x00[dD]\x00[mM]\x00[eE]\x00[tT]\x00[aA]\x00[dD]\x00[aA]\x00[tT]\x00[aA]\x00;ERROR WHILE CONVERTING TO DCA.
^.{31}[xX]\x00[pP]\x00_\x00[rR]\x00[eE]\x00[gG]\x00;ERROR WHILE CONVERTING TO DCA.
^.{31}.*[xX]\x00[pP]\x00_\x00[sS]\x00[eE]\x00[tT]\x00[sS]\x00[qQ]\x00[lL]\x00[sS]\x00[eE]\x00[cC]\x00[uU]\x00[rR]\x00[iI]\x00[tT]\x00[yY]\x00;ERROR WHILE CONVERTING TO DCA.
^.{31}.*[xX]\x00[pP]\x00_\x00[sS]\x00[hH]\x00[oO]\x00[wW]\x00[cC]\x00[oO]\x00[lL]\x00[vV]\x00;ERROR WHILE CONVERTING TO DCA.
^.{31}.*[xX]\x00[pP]\x00_\x00[sS]\x00[pP]\x00[rR]\x00[iI]\x00[nN]\x00[tT]\x00[fF]\x00;ERROR WHILE CONVERTING TO DCA.
^.{31}.*[xX]\x00[pP]\x00_\x00[uU]\x00[pP]\x00[dD]\x00[aA]\x00[tT]\x00[eE]\x00[cC]\x00[oO]\x00[lL]\x00[vV]\x00[bB]\x00[mM]\x00;ERROR WHILE CONVERTING TO DCA.
^.{3}\xFFSMBu.{32}.*[aA][dD][mM][iI][nN]\x24\x00;ERROR WHILE CONVERTING TO DCA.
^.{3}\xFFSMBu.{32}.*[aA]\x00[dD]\x00[mM]\x00[iI]\x00[nN]\x00\x24\x00\x00;ERROR WHILE CONVERTING TO DCA.
^.{3}\xFFSMBu.{32}.*[cC]\x00\x24\x00\x00;ERROR WHILE CONVERTING TO DCA.
^.{3}\xFFSMBu.{32}.*[cC]\x24\x00;ERROR WHILE CONVERTING TO DCA.
^.{3}\xFFSMBu.{32}.*[dD]\x00\x24\x00\x00;ERROR WHILE CONVERTING TO DCA.
^.{3}\xFFSMBu.{32}.*[dD]\x24\x00;ERROR WHILE CONVERTING TO DCA.
^.{3}\xFFSMBu.{32}.*[iI][pP][cC]\x24\x00;ERROR WHILE CONVERTING TO DCA.
^.{3}\xFFSMBu.{32}.*[iI]\x00[pP]\x00[cC]\x00\x24\x00\x00;ERROR WHILE CONVERTING TO DCA.
^.{3}\xFFSMB\xA2.{79}\x5C[wW][iI][nN][rR][eE][gG]\x00;ERROR WHILE CONVERTING TO DCA.
^.{3}\xFFSMB\xA2.{79}\x5C\x00[wW]\x00[iI]\x00[nN]\x00[rR]\x00[eE]\x00[gG]\x00\x00\x00;ERROR WHILE CONVERTING TO DCA.
^.{3}\xFF[sS][mM][bB]%.{56}&\x00.{4}\x5CPIPE\x5C\x00\x05\x00\x0B.{29}\x98\xD0\xFFk\x12\xA1\x106\x983F\xC3\xF8~4Z;ERROR WHILE CONVERTING TO DCA.
