Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
a*[ab]{2,10}b*[bc]{2,20}c;407;855;855;2;20;30;30;0,008393;12;61;1541;Text generated.
a*[ab]{2,20}b*[bc]{2,10}c;88;307;307;2;20;30;30;0,003547;12;61;223;Text generated.
a*[ab]{2,10}b*[bc]{2,10}c;104;252;252;2;10;20;20;0,001546;12;61;270;Text generated.
a*[ab]{2,20}b*[bc]{2,10}c*[c]{2,30};343;1449;1449;3;30;60;30;0,010527;16;96;2174;Text generated.
Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
a*[ab]{2,20}b*[bc]{2,10}c*[c]{2,40};2;61;104;3;40;70;30;0,001294;16;96;88;Text generated.
