Regex;Lines;Visited;Cache Size(Found);Counters;Max CS;Status
(A{11});1;12;12;1;11;Text generated.
(A{127});1;128;128;1;127;Text generated.
(A{12});1;13;13;1;12;Text generated.
(A{13}B?C?);1;14;14;1;13;Text generated.
(A{15});1;16;16;1;15;Text generated.
(A{16});1;17;17;1;16;Text generated.
(A{10});1;11;11;1;10;Text generated.
(A{12});1;13;13;1;12;Text generated.
(A{13});1;14;14;1;13;Text generated.
(A{200});1;201;201;1;200;Text generated.
(A{99});1;100;100;1;99;Text generated.
(A{20}B{20}C{20}D{20}E{20}F{20}G{20}H{20}I{20}J{20}K{20});1;221;221;11;20;Text generated.
(A{23});1;24;24;1;23;Text generated.
(A{24});1;25;25;1;24;Text generated.
(A{999});1;1000;1000;1;999;Text generated.
(A{365});1;366;366;1;365;Text generated.
(A{15});1;16;16;1;15;Text generated.
(A{4}B{31}C{16});1;52;52;3;4;Text generated.
(A{51});1;52;52;1;51;Text generated.
(A{54});1;55;55;1;54;Text generated.
(A{60});1;61;61;1;60;Text generated.
(A{30});1;31;31;1;30;Text generated.
(A{85});1;86;86;1;85;Text generated.
(A{});1;0;1;0;0;Error while generating text.
(A|B){10};1;11;11;1;10;Text generated.
(A|B|C|D){99};1;100;100;1;99;Text generated.
(A|B|C|D|E|F){10};1;11;11;1;10;Text generated.
(A|B|C|D|E|F|G|H|I|J|K|L|M|N){15};1;16;16;1;15;Text generated.
(|A{24});1;1;1;0;0;Text generated.
(|A{10})*;1;1;1;1;0;Text generated.
(|A{11});1;1;1;0;0;Text generated.
