Regex;Lines;Visited;Cache Size(Found);Counters;Max CS;Status
(A?B{8}C{32}D*);1;42;42;2;8;Text generated.
(A?B{99});1;101;101;1;99;Text generated.
(A?B{9}C?D?E?F?G?H{99}I?J{10}K?L?M?N);5;130;130;3;9;Text generated.
(A?B{26});1;28;28;1;26;Text generated.
(A?B{5}C{5}D{99}E?F?G);3;114;114;3;5;Text generated.
(A?B{5}C{5}D{99}E{9}F?G?H?I);3;124;124;4;5;Text generated.
(AB(C{10}|D{10})EF?G?);2;24;24;2;1;Text generated.
(AB(C{99}|D{5})E?F?G);4;110;110;2;1;Text generated.
(AB){16};1;33;33;1;16;Text generated.
(AB){50};1;101;101;1;50;Text generated.
(AB*C?DE*F?G?H?I*J?K?L?M{99}N{99}O);3;209;209;2;1;Text generated.
(AB*C{17});1;19;19;1;1;Text generated.
(AB+C+DEFGH{20}I);1;29;29;1;1;Text generated.
(AB+C?D?EF{100});3;106;106;1;1;Text generated.
(AB?C?D?E?F?G?H?I?J?K?L?M?N?O?P?Q?R{9}S?T?U?V{99}W?X?Y?Z?a?);5;129;129;2;1;Text generated.
(AB?C?D?E?F?G?H?I?J?K?L?M?N?O{35});3;50;50;1;1;Text generated.
(AB?C?D?E?F?G?H?I{35}J?K?L?M?N?O?P?Q?R?S?T?U?V?W?X?Y?Z?a?b?c?d?e?f?g?h?i?j?k?);;;;;;TIMEOUT while finding cycles.
(AB?C?D?E?F{99});3;105;105;1;1;Text generated.
(AB?C?D?EF?G?H?I?J{99}K?L{99}MNOP?Q?R?S?T?UV?W?X{9999}Y{999});1;0;2560;4;1;TIMEOUT.
(AB?C?D?E{35}F?G?H?I?J?K?L?M?N?O?P?Q?R?S?);3;40;40;1;1;Text generated.
(AB?C?D?E{5}F?G?H?I?J?K?L?M?N?O{4}P?Q?R?S?T{5}U{20}V?W?X{5}Y?Z{5}a{4}b{5}c?d?e{10}f?gh{2}i?j?k?l{2}m?n?o{8}p{21}q{2});;;;;;TIMEOUT while finding cycles.
(AB?C?D?E{99}F{4}G{999}H{99}I{99}J{9}K{999}L{99}M{99}N{999});;;;;;Error while finding cycles: Odkaz na objekt není nastaven na instanci objektu.
(AB?C?DE?F?G?H?I?J?K?L?M?N?O?P?Q?R?S?T?U?V?W?X{5}Y?Z?a?b?c?d{20}e?f?g?h?i?j?k?l?m?n?o?p?q?r?s?t?);;;;;;TIMEOUT while finding cycles.
(AB?C?D{10});2;14;14;1;1;Text generated.
(AB?C?D{3}E{13}F?G?H);4;23;23;2;1;Text generated.
