Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
pattern;ERROR WHILE CONVERTING TO DCA.
^\n*[aA][uU][tT][hH][\x20\x09\x0b][^\n]{50};1;56;56;1;50;50;1;5,1E-05;8;12;16148;Text generated.
^\n*[aA][uU][tT][hH][\x20\x09\x0b][^\n]{100};1;106;106;1;100;100;1;0,000101;8;12;16163;Text generated.
^\n*[aA][pP][pP][eE][\x20\x09\x0b][^\n]{100};1;106;106;1;100;100;1;0,000101;8;12;16191;Text generated.
^\n*[aA][pP][oO][pP][\x20\x09\x0b][^\n]{256};1;262;262;1;256;256;1;0,000257;8;12;16209;Text generated.
^\n*[\x20\x09\x0b]LOGIN[\x20\x09\x0b][^\n]{100};1;108;108;1;100;100;1;0,000101;10;14;16255;Text generated.
^\n*[\x20\x09\x0b][rR][eE][nN][aA][mM][eE][\x20\x09\x0b][^\n]{100};1;109;109;1;100;100;1;0,000101;11;15;16274;Text generated.
^\n*[\x20\x09\x0b][lL][iI][sS][tT][\x20\x09\x0b][^\n]{100};1;107;107;1;100;100;1;0,000101;9;13;16301;Text generated.
^\n*[\x20\x09\x0b][fF][iI][nN][dD][\x20\x09\x0b][^\n]{100};1;107;107;1;100;100;1;0,000101;9;13;16320;Text generated.
^\n*[\x20\x09\x0b][cC][rR][eE][aA][tT][eE][\x20\x09\x0b][^\n]{1024};1;1001;1001;1;1024;1024;1;0,000993;11;15;16347;Text generated.
^.{82}.*Login failed for user 'sa';1;110;110;1;82;82;1;8,3E-05;53;156;16488;Text generated.
^.{82}.*Login failed for user \x27sa\x27;1;110;110;1;82;82;1;8,3E-05;53;156;16547;Text generated.
^.{53}.*[aA][uU][tT][hH][eE][nN][tT][iI][cC][aA][tT][iI][oO][nN] [uU][nN][sS][uU][cC][cC][eE][sS][sS][fF][uU][lL];1;82;82;1;53;53;1;5,4E-05;55;162;16605;Text generated.
^.{24}.{2,17}NAMENAME;2;50;65;2;24;41;1;5,7E-05;44;145;16661;Text generated.
