pattern;max elems;average;max counter;sum counter;DCA states;time [ms]
(https?:\/\/)((?:www\.)?[-a-zA-Z0-9@:%._+~#=]{2,256}\.[a-z]{2,16}\b)([-a-zA-Z0-9@:%_+.~#?&//=]*);;;;;;Error while converting regex to DCA: Not implemented: word-boundary \b
^.{1,255}$;1;1;255;255;1;6778771;text generated
^[A-Za-z_][a-z0-9A-Z_\-]{0,254}$;1;1;254;254;2;6778833;text generated
^[\p{L}][a-z0-9A-Z_\p{L}]{2,254}$;1;1;254;254;2;6780481;text generated
.{1,255};1;1;255;255;3;6780526;text generated
uploaded a file: <(https?:\/\/(www\.)?[-a-zA-Z0-9@:%._+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_+.~#?&//=]*));;;;;;Error while converting regex to DCA: Not implemented: word-boundary \b
[a-zA-Z0-9 \.,\_-]{1,255};;;;;;TIMEOUT while converting regex to DCA.
[a-zA-Z_][a-z-A-Z_0-9]{0,254};1;1;254;254;4;18774847;text generated
^(.){7,200}$;1;1;200;200;1;18774875;text generated
^(.){7,200}$;1;1;200;200;1;TIMEOUT while generating line.
.*/#(.{0,255})#/$;1;1;255;255;8;19254941;text generated
https?:\/\/(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&//=]*);;;;;;Error while converting regex to DCA: Not implemented: word-boundary \b
\AST\-[^ \n\t\r\f]{1,253}\Z;1;1;253;253;4;19254993;text generated
^[a-zA-Z0-9][a-zA-Z0-9\._-]{1,253}[a-zA-Z0-9]$;1;1;253;253;4;19255026;text generated
a{256};256;128,5;256;256;4;19255056;text generated
[\][\][^\].{0,255}[\]{1}[^\]*.*[.]{1}.*;-1;0;-1;0;2;19255108;text generated
href=\"(.{1,125})\">.{1,90}(Staffel|Season).*?([0-9]{1,2}-?[0-9]{1,2}|[0-9]{1,2});;;125;219;220;TIMEOUT while finding cycles.
^[é0-9]{256}$;1;1;256;256;1;19737670;text generated
\A[A-Za-z0-9()_$.;/+][A-Za-z0-9()_$.;/+-]{0,200}\z;1;1;200;200;2;19738216;text generated
\A[A-Za-z0-9()_$.;/+][A-Za-z0-9()_$.;/+-]{0,200}\z;1;1;200;200;2;TIMEOUT while generating text file.
^[a-z0-9_.-]{3,255}$;1;1;255;255;1;TIMEOUT while generating text file.
^[a-z0-9_.-]{3,255}$;1;1;255;255;1;19738636;text generated
^([a-zA-Z0-9-._~!$&\'()*+,;=]|%[A-Fa-f0-9]{2}){1,254}$;;;;;;Error while converting regex to DCA: Error: Creating loop in NCA.
^[ 0-9a-zA-Z\._\+/\$-]{1,256}$;1;1;256;256;1;TIMEOUT while generating text file.
^[ 0-9a-zA-Z\._\+/\$-]{1,256}$;1;1;256;256;1;19739414;text generated
