pattern;max elems;average;max counter;sum counter;DCA states;time [ms]
SET_(SENDFROM|MAILHOST)\x28\x27[^\x27]{256};1;1;256;256;42;1460406;text generated
sid=[^&\x3b\r\n]{255};1;1;255;255;8;1460444;text generated
\r\nUser-Agent\x3a[^\n]{216};1;1;216;216;15;1460523;text generated
\r\nUser-Agent\x3a[^\n]{244,255};1;1;255;255;30;1460584;text generated
username=[^&\x3b\r\n]{250};1;1;250;250;18;1460632;text generated
username=[^&\x3b\r\n]{255};1;1;255;255;18;1460663;text generated
wqPassword=[^\r\n\x26]{294};1;1;294;294;22;1460719;text generated
^(.{0,256})LEICA\0....;1;1;256;256;63;1462382;text generated
https?:\/\/(www\.)?[-a-zA-Z0-9@:%._+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_+.~#?&//=]*);;;;;;Error while converting regex to DCA: Not implemented: word-boundary \b
.{1,100}[.,?!:;]|.{1,100}[ \n\t\r\f];100;197,525618595351;100;200;3;1486828;text generated
^(?:[\"\}]|[ \n\t\r\f]{1,256});1;1;256;256;4;1486873;text generated
.*ADCC[B-D]{200,200}.*;1;1;200;200;10;1486929;text generated
[ \t\n]([a-zA-Z]{2,16}:\/\/[a-zA-Z0-9@:%_\+.~#?&=]{2,256}.[a-z]{2,4}\b(\/[\-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)?)[ \t\n];;;;;;Error while converting regex to DCA: Not implemented: word-boundary \b
(([a-z0-9A-Z_]+:)?\/\/)?(([0-9a-z0-9A-Z_]|%[a-fA-f0-9]{2,2})+(:([0-9a-z0-9A-Z_]|%[a-fA-f0-9]{2,2})+)?@)?([0-9a-z0-9A-Z_][-0-9a-z0-9A-Z_]{0,253}[0-9a-z0-9A-Z_]\.)+[a-z0-9A-Z_]{2,4}(:[0-9]+)?(\/([-+_~.0-9a-z0-9A-Z_]|%[a-fA-f0-9]{2,2})*)*(\?(&?([-+_~.0-9a-z0-9A-Z_]|%[a-fA-f0-9]{2,2})=?)*)?(#([-+_~.0-9a-z0-9A-Z_]|%[a-fA-f0-9]{2,2})*)?;;;;;;Error while converting regex to DCA: Error: more than 7 counters.
^[A-Za-z0-9,+/=-]{20,200}$;1;1;200;200;1;1487908;text generated
^(?i)[0-9a-z\, \n\t\r\f\.\-]{1,255}$;1;1;255;255;1;1488018;text generated
^[-a-zA-Z0-9_.]{3,255}$;1;1;255;255;1;1488063;text generated
\A[a-z0-9][a-z0-9\._-]{2,254}\Z;1;1;254;254;2;1488101;text generated
