pattern;max elems;average;max counter;sum counter;DCA states;time [ms]
^\n*COPY[^s]{432};1;1;432;432;7;5327;text generated
^\n*DELETE[^s]{432};1;1;432;432;9;5365;text generated
^\n*[fF][iI][lL][eE]\x3a\x2f\x2f[^\n]{400};1;1;400;400;10;5394;text generated
^\n*GET[^s]{432};1;1;432;432;6;5420;text generated
^\n*HEAD[^s]{432};1;1;432;432;7;5445;text generated
^\n*[hH][tT]{2}[pP]\x3a\x2f\x2f[^\n]{400};1;2;400;402;8;5473;text generated
^\n*LOCK[^s]{432};1;1;432;432;7;5499;text generated
^\n*MKCOL[^s]{432};1;1;432;432;8;5532;text generated
^\n*MOVE[^s]{432};1;1;432;432;7;5557;text generated
^\n*POST[^s]{432};1;1;432;432;7;5585;text generated
^\n*PUT[^s]{432};1;1;432;432;6;5606;text generated
^\n*TRACE[^s]{432};1;1;432;432;8;5630;text generated
^[\a-z0-9A-Z_\-~\/\.]{1,400}$;1;1;400;400;1;5653;text generated
(^|[a-z \n\t\r\f"'])((app(lication)?|client)[_\- ]?(key|secret)|refresh[_\- ]?token|AccessToken(Secret)?|Consumer(Secret|Key)|(Twilio(Account|Auth)(Sid|Token)))([ \n\t\r\f=:>]{1,7}|[ \n\t\r\f"':=]{3,7})(?<ClientSecret>([a-z0-9/+=_.-]{10,200}|[^ \n\t\r\f"';]{4,200}));;;200;414;461;TIMEOUT while finding cycles.
^GET[^s]{432};1;1;432;432;6;495527;text generated
^COPY[^s]{432};1;1;432;432;7;495573;text generated
^PUT[^s]{432};1;1;432;432;6;495613;text generated
^MOVE[^s]{432};1;1;432;432;7;495651;text generated
^DELETE[^s]{432};1;1;432;432;9;495696;text generated
^MKCOL[^s]{432};1;1;432;432;8;495747;text generated
Authorization[ \n\t\r\f]*\x3A[ \n\t\r\f]*Basic[ \n\t\r\f]*[^\n]{437};437;209,916666666667;437;437;80;497980;text generated
^LOCK[^s]{432};1;1;432;432;7;498015;text generated
^(\x01|\x02)[^\x00]+\x00[^\x00]{473};1;1;473;473;5;498072;text generated
^POST[^s]{432};1;1;432;432;7;498106;text generated
^TRACE[^s]{432};1;1;432;432;8;498162;text generated
^HEAD[^s]{432};1;1;432;432;7;498206;text generated
.*A[^AB]{0,400}[CE]D{86,86}EE.*;1;2;400;486;14;498248;text generated
.*A[^AB]{0,400}[CG][EF]{43,43}G[^DF].*;1;2;400;443;14;498292;text generated
^hsl\(\[ \n\t\r\f]{0,31}[\-\.]?\[0-9]+\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}\.?\[0-9]+%\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}\.?\[0-9]+%\[ \n\t\r\f]{0,31}\)|hsla\(\[ \n\t\r\f]{0,31}[\-\.]?\[0-9]+\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}\.?\[0-9]+%\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}\.?\[0-9]+%\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}\.?\[0-9]+\[ \n\t\r\f]{0,31}\)$;;;;;;Error while converting regex to DCA: Error: more than 7 counters.
^rgb\(\[ \n\t\r\f]{0,31}[\0-9]{1,3}\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}[\0-9]{1,3}\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}[\0-9]{1,3}\[ \n\t\r\f]{0,31}\)|rgba\(\[ \n\t\r\f]{0,31}[\0-9]{1,3}\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}[\0-9]{1,3}\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}[\0-9]{1,3}\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}[\.\0-9]+\[ \n\t\r\f]{0,31}\)$;;;;;;Error while converting regex to DCA: Error: more than 7 counters.
[\a-z0-9A-Z_\./]{3,10} +[\a-z0-9A-Z_\./]{1,400} +[\a-z0-9A-Z_\./]{1,20}.+;8;7,375;400;430;51;499042;text generated
^PORT[ \t][^\n]{400};1;1;400;400;8;499150;text generated
