Regex;Lines;Visited;Cache Size(Found);Max CS;Status
^([a-zA-Z0-9-._~!$&\'()*+,;=]|%[A-Fa-f0-9]{2}){1,254}$;;;;;Error while converting to DCA: Error: Creating loop in NCA.
^multipart\/[a-zA-Z0-9\.\-\+]{1,100}(;[ \n\t\r\f]?(boundary|charset)=(\"[a-zA-Z0-9\.\-\+ \n\t\r\f]{0,70}\"|[a-zA-Z0-9\.\-\+]{0,70})([ \n\t\r\f]?\([a-zA-Z0-9\.\-\+ \n\t\r\f]{1,20}\))?){0,2}$;;;;;Error while converting to DCA: Dimenze pole překročily podporovaný rozsah.
([A-Z0-9\!\#\$\&\.\+\-\^\_]{1,127})/([A-Z0-9\!\#\$\&\.\+\-\^\_]{1,127});;;;;Error while converting to DCA: analýza ([A-Z0-9\!\#\$\&\.\+\-\^\_]{1,127})/([A-Z0-9\!\#\$\&\.\+\-\^\_]{1,127}) - Nerozpoznaná řídicí sekvence \_.
[-a-z0-9A-Z_'+*$^&%=~!?{}#|/`]{1}([-a-z0-9A-Z_'+*$^&%=~!?{}#|`.]?[-a-z0-9A-Z_'+*$^&%=~!?{}#|`]{1}){0,31}[-a-z0-9A-Z_'+*$^&%=~!?{}#|`]?@(([a-zA-Z0-9]{1}([-a-zA-Z0-9]?[a-zA-Z0-9]{1}){0,31})\.{1})+([a-zA-Z]{2}|[a-zA-Z]{3}|[a-zA-Z]{4}|[a-zA-Z]{6}){1};;;;;Error while converting to DCA: Error: more than 7 counters.
^(?:http|ftp|git)s?://(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3})(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;Error while converting to DCA: Error: more than 7 counters.
^((https?|ftp|rtsp|mms):\/\/)(([0-9a-z_!~*'().&=+$%-]+: )?[0-9a-z_!~*'().&=+$%-]+@)?(([0-9]{1,3}\.){3}[0-9]{1,3}|([0-9a-z_!~*'()-]+\.)*([0-9a-z][0-9a-z-]{0,61})?[0-9a-z]\.[a-z]{2,6}|localhost)(:[0-9]{1,4})?((\/?)|(\/[0-9a-z_!~*'().;?:@&=+$,%#-]+)+\/?)$;;;;;TIMEOUT while converting to DCA.
^[A-Za-z0-9][A-Za-z0-9\.\-\_\:]{1,61}[A-Za-z0-9]$;;;;;Error while converting to DCA: analýza ^[A-Za-z0-9][A-Za-z0-9\.\-\_\:]{1,61}[A-Za-z0-9]$ - Nerozpoznaná řídicí sekvence \_.
.+\n([^\n]{30,70})$;;;;;Error while converting to DCA: SetIsEmpty
^(?:4[0-9]{12}(?:[0-9]{3})?|5[1-5][0-9]{14}|(222[1-9]|22[3-9][0-9]|2[3-6][0-9]{2}|27[01][0-9]|2720)[0-9]{12}|6(?:011|5[0-9][0-9])[0-9]{12}|3[47][0-9]{13}|3(?:0[0-5]|[68][0-9])[0-9]{11}|(?:2131|1800|35[0-9]{3})[0-9]{11}|6[27][0-9]{14})$;;;;;Error while converting to DCA: Error: more than 7 counters.
^([^\x00]{1,79})\x00(\x00|\x01)\x00([^\x00]*)(.)[^\x00]*\x00(.*)$;;;;;Error while converting to DCA: SetIsEmpty
^https?:\/\/((www\.|encrypted\.)?google(\.com|\.co)?\.[a-z]{2,3}\/(search|webhp)\?|24e12c4a-a-95274a9c-s-sites.googlegroups.com\/a\/google.com\/flash-api-test-harness\/apiharness.swf|([A-Za-z0-9-]{1,63}\.)*(imasdk\.googleapis\.com|corp\.google\.com|borg\.google\.com|docs\.google\.com|drive\.google\.com|googleplex\.com|play\.google\.com|prod\.google\.com|sandbox\.google\.com|photos\.google\.com|picasaweb\.google\.com|lh2\.google\.com|plus\.google\.com|books\.googleusercontent\.com|mail\.google\.com|talkgadget\.google\.com|survey\.g\.doubleclick\.net|youtube\.com|youtube\.googleapis\.com|youtube-nocookie\.com|youtubeeducation\.com|vevo\.com)(:[0-9]+)?([\/\?\#]|$));;;;;TIMEOUT while converting to DCA.
^QS([NDR])(.{4})(.{6})([0-9]{8})([0-9]{8}| {8})([01]{7})([ SH])([ ABXG])(.{4})(.{6})(.{8})(.{8})(.)$;;;;;Error while converting to DCA: Error: more than 7 counters.
(password|pwd)[^"']+[\{\[\(\<][a-z0-9\. \n\t\r\f]+[\}\]\)\>]|(password|pwd)[ -~ \n\t\r\f\r\n]{1,5}(privatesettingsref:|[\{\[\(\<\$%][a-z0-9\. \n\t\r\f\-_\$%"']+[\{\[\(\<\}\]\)\>\$%]|[\{\[\(\<][ \n\t\r\f]*[\}\]\)\>]|redacted|null|none|string|""|''|["'][ \n\t\r\f]|#.{1,50}#);;;;;TIMEOUT while converting to DCA.
[^a-z0-9/\+\._\-\$,\](?<SymmetricKey>(?-i)[a-z2-7]{52}(?i))([^a-z0-9/\+\._\-\$,\]|$);;;;;Error while converting to DCA: analýza [^a-z0-9/\+\._\-\$,\](?<SymmetricKey>(?-i)[a-z2-7]{52}(?i))([^a-z0-9/\+\._\-\$,\]|$) - Chybí pravá hranatá závorka (]).
[^a-z0-9/\+\._\-\$,\](?<SymmetricKey>[a-z0-9/\+]{54})={2}([^a-z0-9/\+\._\-\$,\]|$);;;;;Error while converting to DCA: analýza [^a-z0-9/\+\._\-\$,\](?<SymmetricKey>[a-z0-9/\+]{54})={2}([^a-z0-9/\+\._\-\$,\]|$) - Chybí pravá hranatá závorka (]).
[^a-z0-9/\+\._\-\$,\](?<SymmetricKey>[a-z0-9/\+]{60})[^a-z0-9/\+\._\-\$,\];;;;;Error while converting to DCA: analýza [^a-z0-9/\+\._\-\$,\](?<SymmetricKey>[a-z0-9/\+]{60})[^a-z0-9/\+\._\-\$,\] - Chybí pravá hranatá závorka (]).
[^a-z0-9/\+\._\-\$,\](?<SymmetricKey>[a-z0-9/\+]{86}==)([^a-z0-9/\+\._\-\$]|$);;;;;Error while converting to DCA: analýza [^a-z0-9/\+\._\-\$,\](?<SymmetricKey>[a-z0-9/\+]{86}==)([^a-z0-9/\+\._\-\$]|$) - Příliš mnoho zavíracích závorek ).
^(.{30})(.*?)(.{30})$;;;;;Error while converting to DCA: Match generation with mixed lazy and eager loops currently not supported.
^(?:4[0-9]{12}(?:[0-9]{3})?|5[1-5][0-9]{14}|(222[1-9]|22[3-9][0-9]|2[3-6][0-9]{2}|27[01][0-9]|2720)[0-9]{12}|6(?:011|5[0-9][0-9])[0-9]{12}|3[47][0-9]{13}|3(?:0[0-5]|[68][0-9])[0-9]{11}|(?:2131|1800|35[0-9]{3})[0-9]{11}|62[0-9]{14})$;;;;;Error while converting to DCA: Error: more than 7 counters.
^(?:[0-9a-f]{8}-[0-9a-f]{4}-[1-5][0-9a-f]{3}-[89ab][0-9a-f]{3}-[0-9a-f]{12}|0{8}-0{4}-0{4}-0{4}-0{12})$;;;;;Error while converting to DCA: Error: more than 7 counters.
^(?:(4[0-9]{12}(?:[0-9]{3})?)|(5[1-5][0-9]{14})|(6(?:011|5[0-9]{2})[0-9]{12})|(3[47][0-9]{13})|(3(?:0[0-5]|[68][0-9])[0-9]{11})|((?:2131|1800|35[0-9]{3})[0-9]{11}))$;;;;;Error while converting to DCA: Error: more than 7 counters.
﻿^(?:<a?:[0-9a-zA-Z_]{2,32}:)?([0-9]{17,19})>?$;;;;;Error while converting to DCA: SetIsEmpty
^[0-9a-zA-Z\_]{1,64}$;;;;;Error while converting to DCA: analýza ^[0-9a-zA-Z\_]{1,64}$ - Nerozpoznaná řídicí sekvence \_.
(spotify:(?:\n    (?:artist|album|user:[^:]+:playlist):[a-zA-Z0-9]{22}\n    |track:[a-zA-Z0-9]{22}(?:\#[0-9]{1,2}:[0-9]{1,2})?\n    |user:[^:]+(?::starred)?\n    |search:(?:[-a-z0-9A-Z_$\.+!*'(),]+|%[a-fA-F0-9]{2})+\n    |image:[a-fA-F0-9]{40}\n    ))\n  ;;;;;Error while converting to DCA: SetIsEmpty
^[A-Z0-9]{8}\-[A-Z0-9]{8}\-[A-Z0-9]{8}\-[A-Z0-9]{8}\-[A-Z0-9]{8}\-[A-Z0-9]{8}\-[A-Z0-9]{8}\-[A-Z0-9]{8}$;;;;;Error while converting to DCA: Error: more than 7 counters.
\b((https?:\/\/)?(([0-9a-zA-Z_!~*'().&=+$%-]+:)?[0-9a-zA-Z_!~*'().&=+$%-]+\@)?(([0-9]{1,3}\.){3}[0-9]{1,3}|([0-9a-zA-Z_!~*'()-]+\.)*([0-9a-zA-Z][0-9a-zA-Z-]{0,61})?[0-9a-zA-Z]\.[a-zA-Z]{2,6})(:[0-9]{1,4})?((\/[0-9a-zA-Z_!~*'().;?:\@&=+$,%#-]+)*\/?));;;;;Error while converting to DCA: Not implemented: word-boundary \b
^(?:http|ftp)s?://([A-Z0-9]+:.+@){0,1}(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3})(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;Error while converting to DCA: Error: more than 7 counters.
^[0-9A-Za-z\_\-]{1,63}$;;;;;Error while converting to DCA: analýza ^[0-9A-Za-z\_\-]{1,63}$ - Nerozpoznaná řídicí sekvence \_.
^((?:http|ftp)s?://(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3})(?::[0-9]+)?)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;Error while converting to DCA: Error: more than 7 counters.
^[&!#+][\pL\pN]{1,63}$;;;;;Error while converting to DCA: analýza ^[&!#+][\pL\pN]{1,63}$ - Řídicí sekvence znaků \p{X} byla poškozena.
(CHK\@[a-zA-Z0-9,~\-]{54})[\/ ]+(.*?)[ \n\t\r\f]*$;;;;;Error while converting to DCA: Match generation with mixed lazy and eager loops currently not supported.
^(?:[a-z0-9\.\-]*)://(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}|\[?[A-F0-9]*:[A-F0-9:]+\]?)(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;Error while converting to DCA: Error: more than 7 counters.
^[0-9a-zA-Z_]+:(?://)?(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3})(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;Error while converting to DCA: Error: more than 7 counters.
^(?:http)s?://(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3})(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;Error while converting to DCA: Error: more than 7 counters.
^(sha256:|)[a-z0-9]{64}\n$;;;;;Error while converting to DCA: SetIsEmpty
^(?:4[0-9]{12}(?:[0-9]{3})?|5[1-5][0-9]{14}|(?:222[1-9]|2[3-6][0-9]{2}|27[0-1][0-9]|2720)[0-9]{12}|6(?:011|5[0-9][0-9])[0-9]{12}|3[47][0-9]{13}|3(?:0[0-5]|[68][0-9])[0-9]{11}|(?:2131|1800|35[0-9]{3})[0-9]{11})$;;;;;Error while converting to DCA: Error: more than 7 counters.
([0-9a-fA-F]{40}) ([0-9a-fA-F]{40}) refs\/(heads|tags)\/(.*?)( |00|\u0000)|^(0000)$;;;;;Error while converting to DCA: Match generation with mixed lazy and eager loops currently not supported.
^(?:http|https)s?://(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3})(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;Error while converting to DCA: Error: more than 7 counters.
^(https?://)?(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3})(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;Error while converting to DCA: Error: more than 7 counters.
(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}|\[?[A-F0-9]*:[A-F0-9:]+\]?)(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;Error while converting to DCA: Error: more than 7 counters.
^((?:[A-Z]{2,3}(?:-[A-Z]{3}){0,3})|[A-Z]{4}|[A-Z]{5,8})(?:-([A-Z]{4}))?(?:-([A-Z]{2}|[0-9]{3}))?((?:-[0-9A-Z]{5,8}|-[0-9][0-9A-Z]{3})*)((?:-[0-9A-WYZ](?:-[0-9A-Z]{2,8})+)*)(?:-(X(?:-[0-9A-Z]{1,8})+))?$;;;;;Error while converting to DCA: Error: more than 7 counters.
^([A-Za-z][0-9]{7}|[ \n\t\r\f]{8}) ([A-Za-z][0-9]{7}|[ \n\t\r\f]{8}) ([0-9a-fA-F]{8}|[ \n\t\r\f]{8}) ([0-9a-fA-F]{8}) (.*)$;;;;;Error while converting to DCA: Dimenze pole překročily podporovaný rozsah.
^[A-Za-z\_\.]{0,50}$;;;;;Error while converting to DCA: analýza ^[A-Za-z\_\.]{0,50}$ - Nerozpoznaná řídicí sekvence \_.
^(?:http|ftp)s?://(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3})(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;Error while converting to DCA: Error: more than 7 counters.
^[a-z0-9\-\_]{1,64}$;;;;;Error while converting to DCA: analýza ^[a-z0-9\-\_]{1,64}$ - Nerozpoznaná řídicí sekvence \_.
^UPDATE;arm:0;[0-9]{13};10\nUPDATE;arm:1;[0-9]{13};20\nUPDATE;arm:2;[0-9]{13};30\nUPDATE;arm:3;[0-9]{13};40\n$;;;;;Error while converting to DCA: SetIsEmpty
^(a?){25}(a){25}$;;;;;Error while converting to DCA: Error: Creating loop in NCA.
^Composer version (?:1.0-dev \([0-9a-f]{40}\)|[0-9a-f]{40}) 2[0-9]{3}-(?:0[0-9]|1[0-2])-(?:[0-2][0-9]|3[0-1]) (?:[0-1][0-9]|2[0-3]):[0-5][0-9]:(?:[0-5][0-9]|60)$;;;;;TIMEOUT while converting to DCA.
^[a-zA-Z][A-Za-z0-9-\.\_]{0,61}[a-zA-Z]$;;;;;Error while converting to DCA: analýza ^[a-zA-Z][A-Za-z0-9-\.\_]{0,61}[a-zA-Z]$ - Nerozpoznaná řídicí sekvence \_.
^\".{60,}\"\n$;;;;;Error while converting to DCA: SetIsEmpty
^(([-=])\2{74}\n)(?:\Q$new_source_trace\E)?\z;;;;;Error while converting to DCA: analýza ^(([-=])\2{74}\n)(?:\Q$new_source_trace\E)?\z - Nerozpoznaná řídicí sekvence \Q.
^([a-fA-F0-9]{8}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{12})|([a-fA-F0-9]{8}[a-fA-F0-9]{4}[a-fA-F0-9]{4}[a-fA-F0-9]{4}[a-fA-F0-9]{12})$;;;;;Error while converting to DCA: Error: more than 7 counters.
^(::|(([a-fA-F0-9]{1,4}):){7}(([a-fA-F0-9]{1,4}))|(:(:([a-fA-F0-9]{1,4})){1,6})|((([a-fA-F0-9]{1,4}):){1,6}:)|((([a-fA-F0-9]{1,4}):)(:([a-fA-F0-9]{1,4})){1,6})|((([a-fA-F0-9]{1,4}):){2}(:([a-fA-F0-9]{1,4})){1,5})|((([a-fA-F0-9]{1,4}):){3}(:([a-fA-F0-9]{1,4})){1,4})|((([a-fA-F0-9]{1,4}):){4}(:([a-fA-F0-9]{1,4})){1,3})|((([a-fA-F0-9]{1,4}):){5}(:([a-fA-F0-9]{1,4})){1,2}))$;;;;;Error while converting to DCA: Error: more than 7 counters.
^(?:(?:http|ftp)s?://)?(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3})(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;Error while converting to DCA: Error: more than 7 counters.
^(dlr|req)\:(/[\a-z0-9A-Z_\0-9\-\_]+(/[\a-z0-9A-Z_\0-9\-\_]+)*)\:([\0-9\a-z0-9A-Z_]{40})\:([\0-9\a-z0-9A-Z_\-]{36})$;;;;;Error while converting to DCA: analýza ^(dlr|req)\:(/[\a-z0-9A-Z_\0-9\-\_]+(/[\a-z0-9A-Z_\0-9\-\_]+)*)\:([\0-9\a-z0-9A-Z_]{40})\:([\0-9\a-z0-9A-Z_\-]{36})$ - Nerozpoznaná řídicí sekvence \_.
^([0-9a-f]{40}) [0-9a-f]{40}\n$;;;;;Error while converting to DCA: SetIsEmpty
^https?://(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+[A-Z]{2,6}\.?|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3})(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;Error while converting to DCA: Dimenze pole překročily podporovaný rozsah.
^ => src/files/appveyor_artifacts.py [\.]{15,79} [0-9]{5,6} bytes\n$;;;;;Error while converting to DCA: SetIsEmpty
^\h{96}$;;;;;Error while converting to DCA: analýza ^\h{96}$ - Nerozpoznaná řídicí sekvence \h.
^\n             (\n               (?<r_langtag>\n                 (?<language>[a-z]{2,3})\n                 (?<script>\-[a-z]{4})?\n                 (?<region>\-(?:[a-z]{2}|[0-9]{4}))?\n                 (?<variant>(?:\-(?:[a-z]{2}|[0-9]{3}))+)?\n                 (?<extension>(?:\-(?:[a-wy-z]|[0-9])\-[a-z0-9]{2,8})+)?\n                 (?<privateuse>\-x\-[a-z0-9]{1,8})?\n               )\n             | (?<r_privateuse>x\-[a-z0-9]{1,8})\n             | (?<r_grandfathered>[a-z]{1,3}(\-[a-z0-9]{2,8}){1,2})\n             )\n             $;;;;;Error while converting to DCA: SetIsEmpty
^ (.{30}) .*? (.{30}) $;;;;;Error while converting to DCA: Match generation with mixed lazy and eager loops currently not supported.
^ {9}(?<index>[0-9]{3}) (?<step>.{8}) (?<procedureStep>.{8}) (?<class>.) (?<name>.{8}) {1,9}(?<length>[0-9]{1,9}) $;;;;;Error while converting to DCA: Dimenze pole překročily podporovaný rozsah.
^`{32} example\n((?s).*?)\n\.\n(?:|((?s).*?)\n)`{32}$|^#{1,6} *(.*?)$;;;;;Error while converting to DCA: Match generation with mixed lazy and eager loops currently not supported.
^https?://(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+[A-Z]{2,6}\.?|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3})(?::[0-9]+)?(?:/?|/[^ \n\t\r\f]+)$;;;;;Error while converting to DCA: Dimenze pole překročily podporovaný rozsah.
^[a-z0-9]{8}[ \n\t\r\f][a-z0-9]{8}[ \n\t\r\f][a-z0-9]{8}[ \n\t\r\f][a-z0-9]{8}[ \n\t\r\f][a-z0-9]{8}[ \n\t\r\f][a-z0-9]{8}[ \n\t\r\f][a-z0-9]{8}[ \n\t\r\f][a-z0-9]{8}$;;;;;Error while converting to DCA: Error: more than 7 counters.
^(?:[a-z0-9\.\-]*)://(?:(?:[A-Z0-9_](?:[A-Z0-9-_]{0,61}[A-Z0-9_])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}|\[?[A-F0-9]*:[A-F0-9:]+\]?)(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;Error while converting to DCA: Error: more than 7 counters.
^\h{64}$;;;;;Error while converting to DCA: analýza ^\h{64}$ - Nerozpoznaná řídicí sekvence \h.
^3(?:[47][0-9]([ -]?)[0-9]{4}(?:\1[0-9]{4}){2}|0[0-5][0-9]{11}|[68][0-9]{12})$|^4(?:[0-9][0-9][0-9])?([ -]?)[0-9]{4}(?:\2[0-9]{4}){2}$|^6011([ -]?)[0-9]{4}(?:\3[0-9]{4}){2}$|^5[1-5][0-9][0-9]([ -]?)[0-9]{4}(?:\4[0-9]{4}){2}$|^2014[0-9]{11}$|^2149[0-9]{11}$|^2131[0-9]{11}$|^1800[0-9]{11}$|^3[0-9]{15}$;;;;;Error while converting to DCA: Not supported: references \1
^[0-9A-Za-z\_\.]{0,50}$;;;;;Error while converting to DCA: analýza ^[0-9A-Za-z\_\.]{0,50}$ - Nerozpoznaná řídicí sekvence \_.
^([a-z0-9]([a-z0-9-_]*[a-z0-9])?\.)+[a-z]{2,63}$;;;;;Error while converting to DCA: Error: Creating loop in NCA.
^ => appveyor_artifacts.py [\.]{15,79} [0-9]{5,6} bytes\n$;;;;;Error while converting to DCA: SetIsEmpty
^\h{56}$;;;;;Error while converting to DCA: analýza ^\h{56}$ - Nerozpoznaná řídicí sekvence \h.
^.*([/\].{1,70})$;;;;;Error while converting to DCA: analýza ^.*([/\].{1,70})$ - Chybí pravá hranatá závorka (]).
