Regex;Lines;Visited;Cache Size(Found);Max CS;Status
﻿^\d{1000}$;;;;;Error while converting to DCA: SetIsEmpty
^\0{1000}$;;;;;Error while converting to DCA: Index je mimo hranice pole.
^[a-f0-9]{256}:[a-f0-9]{256}:[a-f0-9]{16}:[a-f0-9]{16}:[a-f0-9]{320}:[a-f0-9]{16}:[a-f0-9]{40}:[a-f0-9]{40}:[a-f0-9]{40}$;;;;;Error while converting to DCA: Error: more than 7 counters.
^.\n\0{510}\0{1000}$;;;;;Error while converting to DCA: SetIsEmpty
﻿^[a-f0-9]{256}:[a-f0-9]{256}:[a-f0-9]{16}:[a-f0-9]{16}:[a-f0-9]{320}:[a-f0-9]{16}:[a-f0-9]{40}:[a-f0-9]{40}:[a-f0-9]{32}$;;;;;Error while converting to DCA: SetIsEmpty
^[a-z_+-]{1,256}(\/[a-z_+-]{1,256}(\/[a-z_+-]{1,256})?)?$;;;;;Error while converting to DCA: Error: Creating loop in NCA.
^hsl\(\[ \n\t\r\f]{0,31}[\-\.]?\[0-9]+\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}\.?\[0-9]+%\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}\.?\[0-9]+%\[ \n\t\r\f]{0,31}\)|hsla\(\[ \n\t\r\f]{0,31}[\-\.]?\[0-9]+\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}\.?\[0-9]+%\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}\.?\[0-9]+%\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}\.?\[0-9]+\[ \n\t\r\f]{0,31}\)$;;;;;Error while converting to DCA: SetIsEmpty
^rgb\(\[ \n\t\r\f]{0,31}[\0-9]{1,3}\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}[\0-9]{1,3}\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}[\0-9]{1,3}\[ \n\t\r\f]{0,31}\)|rgba\(\[ \n\t\r\f]{0,31}[\0-9]{1,3}\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}[\0-9]{1,3}\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}[\0-9]{1,3}\[ \n\t\r\f]{0,31},\[ \n\t\r\f]{0,31}[\.\0-9]+\[ \n\t\r\f]{0,31}\)$;;;;;Error while converting to DCA: SetIsEmpty
^(([a-zA-Z0-9\-]{1,63}\.?)+([a-zA-Z0-9\-]+)){1,255}$;;;;;Error while converting to DCA: Error: Creating loop in NCA.
^[-a-zA-Z0-9@:%_\+.~#?&//=]{2,256}\.[a-z]{2,63}\b(\/[-a-zA-Z0-9@:%_\(\)\+.,~#?&//=]*)?$;;;;;Error while converting to DCA: Not implemented: word-boundary \b
^[\p{Script=Common}\p{Letter} \n\t\r\fa-z0-9A-Z_\@_:!-~]{0,300}$;;;;;Error while converting to DCA: analýza ^[\p{Script=Common}\p{Letter} \n\t\r\fa-z0-9A-Z_\@_:!-~]{0,300}$ - Řídicí sekvence znaků \p{X} je neúplná.
^https?:\/\/(www\.)?[-a-zA-Z0-9@:%._+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_+.~#?&//=]*)$;;;;;Error while converting to DCA: Not implemented: word-boundary \b
^https?:\/\/(www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/=]*)$;;;;;Error while converting to DCA: Not implemented: word-boundary \b
^\p{Print}{1,200}$;;;;;Error while converting to DCA: analýza ^\p{Print}{1,200}$ - Neznámá vlastnost Print.
^([a-zA-Z0-9-._~!$&'()*+,;=]|%[A-Fa-f0-9]{2}){1,254}$;;;;;Error while converting to DCA: Error: Creating loop in NCA.
^data:([a-z0-9][a-z0-9\!\#\$\&\-\^\_\+\.]{0,126}\/[a-z0-9][a-z0-9\!\#\$\&\-\^\_\+\.]{0,126}(;[a-z0-9\-]+\=[a-z0-9\-]+)?)?(;base64)?,[a-z0-9\!\$\&\'\,\(\)\*\+\,\;\=\-\.\_\~\:\@\/\?\% \n\t\r\f]*[ \n\t\r\f]*$;;;;;Error while converting to DCA: analýza ^data:([a-z0-9][a-z0-9\!\#\$\&\-\^\_\+\.]{0,126}\/[a-z0-9][a-z0-9\!\#\$\&\-\^\_\+\.]{0,126}(;[a-z0-9\-]+\=[a-z0-9\-]+)?)?(;base64)?,[a-z0-9\!\$\&\'\,\(\)\*\+\,\;\=\-\.\_\~\:\@\/\?\% \n\t\r\f]*[ \n\t\r\f]*$ - Nerozpoznaná řídicí sekvence \_.
^(.*){0,254}$;;;;;Error while converting to DCA: Error: Creating loop in NCA.
\.package\(url:[ \n\t\r\f]\"https:\/\/(www\.)?[-a-zA-Z0-9@:%._+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_+.~#?&//=]*).git\",[ \n\t\r\f]((\.upToNextMajor|\.upToNextMinor)\(from:[ \n\t\r\f]\"(-?[0-9]+\.){2}-?[0-9]+\"\)|from:[ \n\t\r\f]\"(-?[0-9]+\.){2}-?[0-9]+\")\),?$;;;;;Error while converting to DCA: Not implemented: word-boundary \b
