Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
^X?PAT\s+[^\n]{0};ERROR WHILE GENERATING TEXT.
^X?PAT\s+[^\n]{20};22;236;236;1;20;20;20;0,00175;12;27;80;Text generated.
^X?PAT\s+[^\n]{40};42;866;866;1;40;40;40;0,0123;12;27;106;Text generated.
^X?PAT\s+[^\n]{60};62;1896;1896;1;60;60;60;0,03965;12;27;165;Text generated.
^X?PAT\s+[^\n]{80};82;3326;3326;1;80;80;80;0,0918;12;27;361;Text generated.
^X?PAT\s+[^\n]{100};102;5156;5156;1;100;100;100;0,17675;12;27;1012;Text generated.
^X?PAT\s+[^\n]{120};122;7386;7386;1;120;120;120;0,3025;12;27;2254;Text generated.
^X?PAT\s+[^\n]{140};142;10016;10016;1;140;140;140;0,47705;12;27;4705;Text generated.
^X?PAT\s+[^\n]{160};162;13046;13046;1;160;160;160;0,7084;12;27;9147;Text generated.
^X?PAT\s+[^\n]{180};182;16476;16476;1;180;180;180;1,00455;12;27;17041;Text generated.
^X?PAT\s+[^\n]{200};202;20306;20306;1;200;200;200;1,3735;12;27;31688;Text generated.
