Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
^[nN][aA][mM][eE]=s{900,1000}[^\r\n\x3b\x20\x09\x0b\x2c]{300};101;26256;26256;2;1000;1300;101;1,207951;12;28;48;Text generated.
#{255};1;256;256;1;255;255;255;0,03264;4;10;166735;Text generated.
[^\x00-\x21\xff]{1,250}$;1;251;251;1;250;250;250;0,031375;2;4;166761;Text generated.
(.{1,78})(?: +|$)\n?|(.{78});78;156;156;2;78;156;156;0,012322;5;11;166806;Text generated.
^AUTH\s{900,1000}\S{900,1000}\s{900,1000}[^\n]{128};152;15933;15933;4;1000;3128;101;0,495679;13;32;166854;Text generated.
[A-Fa-f0-9]{128};1;129;129;1;128;128;128;0,008256;4;10;399608;Text generated.
.{10,128}$;1;129;129;1;128;128;128;0,008256;2;2;399626;Text generated.
^TEST\s{900,1000}[^\n]{100,}$;152;11105;11105;2;1000;1100;101;0,349451;11;30;399649;Text generated.
^USER\s{900,1000}[^\n]{100,}$;152;11105;11105;2;1000;1100;101;0,349451;11;30;437390;Text generated.
\S{100,}$;1;101;101;1;100;100;100;0,00505;3;7;479065;Text generated.
\[\n\s{900,1000}[^\[\{\}\]]{0,100}\];100;6054;6054;2;1000;1100;101;0,177751;10;39;479084;Text generated.
\r\nContent-Length\x3A\s{900,1000}[^\r\n]{100,}$;954;50001;7213;2;1000;1100;40;0,071934;66;352;489223;Text generated.
\.{100,}$;1;101;101;1;100;100;100;0,00505;3;7;862213;Text generated.
(={80});1;81;81;1;80;80;80;0,00324;4;10;862227;Text generated.
(={77});1;78;78;1;77;77;77;0,003003;4;10;862241;Text generated.
Regex;Lines;Visited;Cache Size(Found);Counters;Max Counter;Sum Counters;Max CS;Avrg CS;DCA-states;DCA-trans;Deter-TIME [milisec];Status
(a#{254}){900,1000}a#{255};1;50001;50001;2;1000;1255;197;4,92697;1024;4093;197;Text generated.
(a\.{99}){900,1000}a\.{100,};1;50001;50001;2;1000;1100;500;12,525;504;1918;69792;TIMEOUT.
(a={79}){900,1000}a(={80});1;50001;50001;2;1000;1080;625;15,65;324;1293;4246524;Text generated.
(a={76}){900,1000)a(={77});ERROR WHILE CONVERTING TO DCA.
