Regex;Lines;Visited;Cache Size(Found);Max CS;Status
user(name)?[ -~ \n\t\r\f]{0,70}(secret|password);698;23790;56156;6;TIMEOUT.
php.*\x3f[^\n]{256};191;30046;89095;256;Text generated.
php.*\x3f[^\n]{256};191;30046;89095;256;TIMEOUT.
name=[ \n\t\r\f]*[^\r\n\x3b \n\t\r\f\x2c]{300};139;27588;54673;5;TIMEOUT.
M{1000};1;1001;1001;1000;Text generated.
identityId:.*[0-9a-z]{64};65;562;562;64;Text generated.
https?:\/\/(www\.)?[-a-zA-Z0-9@:%_\+.~#?&\/\/=]{2,256}\.[a-z]{2,4}[ \n\t\r\f](\/[-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)?;104;10578;26447;3;Text generated.
