Regex;Lines;Visited;Cache Size(Found);Status
user(name)?[ -~ \n\t\r\f]{0,70}(secret|password);893;30046;69808;TIMEOUT.
php.*\x3f[^\n]{256};893;30046;69808;Text generated.
php.*\x3f[^\n]{256};94;14716;43851;TIMEOUT.
name=[ \n\t\r\f]*[^\r\n\x3b \n\t\r\f\x2c]{300};107;21351;42433;TIMEOUT.
M{1000};1;1001;1001;Text generated.
identityId:.*[0-9a-z]{64};65;562;562;Text generated.
https?:\/\/(www\.)?[-a-zA-Z0-9@:%_\+.~#?&\/\/=]{2,256}\.[a-z]{2,4}[ \n\t\r\f](\/[-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)?;167;16960;42419;TIMEOUT.
Color Name[ \n\t\r\f]{2,}RGB[^-]*-{70}.(.*?)-{70};6;70;70;Text generated.
Authorization[ \n\t\r\f]*\x3A[ \n\t\r\f]*Basic[ \n\t\r\f]*[^\n]{437};46;8502;14882;Text generated.
Authorization[ \n\t\r\f]*\x3A[ \n\t\r\f]*Basic[ \n\t\r\f]*[^\n]{437};88;18672;31585;TIMEOUT.
a{51};1;52;52;Text generated.
a{256};1;257;257;Text generated.
5[0-9a-zA-Z]{50};390;13746;26726;Text generated.
5[0-9a-zA-Z]{50};393;13848;26968;TIMEOUT.
200 [^\x0a]{64};281;12952;24551;Text generated.
200 [^\x0a]{64};376;17007;32140;Text generated.
200 [^\x0a]{64};440;19695;37198;TIMEOUT.
>([^<]{100,})<;20;28890;57886;TIMEOUT.
={65}.*?(?:EXPORTED\n\n)+;20;28890;57886;Text generated.
={65}.*?(?:EXPORTED\n\n)+;1;142;142;Text generated.
<pre>(?:.{1000}\n){1000}</pre>;2;8;8;Text generated.
<?(a)?:?([0-9a-zA-Z_]{2,32}):([0-9]{17,19})>?;4;85;85;Text generated.
-{20,40}[0-9a-zA-Z_]{6,24}[\n\r]*;4;45;45;Text generated.
_{58};1;59;59;Text generated.
^X?PAT[ \n\t\r\f]+[^\n]{1000};22;20815;21571;Text generated.
